"NoW March 6, 2019",,0
Facebook's Pivot To Privacy Is Missing Something Crucial,,https://www.wired.com/story/facebook-zuckerberg-privacy-pivot/
Instagram Fashionista’s Suit Survives Clever Challenges,,https://www.lexology.com/library/detail.aspx?g=42fdd2d9-1994-4010-94df-1844a4648619
Instagram is Working on a New Ad Unit for Sponsored Posts,,https://www.searchenginejournal.com/instagram-is-working-on-a-new-ad-unit-for-sponsored-posts/296601/
Model Misbehavior? Gigi Hadid Faces Copyright Suit Over Instagram Post ,,https://www.lexology.com/library/detail.aspx?g=d50f50c7-edb7-4fc3-b4b0-7b82384da373
Willie’s Creative Commons lesson: The essential attribution requirement ,,https://www.lexology.com/library/detail.aspx?g=17ab91fd-052b-4cdd-a58e-1638d6007ca3
Supreme Court Holds Copyright Owners Must Wait to Commence an Infringement Suit Until After the Copyright Office Acts,,https://www.lexology.com/library/detail.aspx?g=1d85f233-7c1b-4ba0-a31f-0639d1ad8443
Swiss Supreme Court Refuses To Order ISPs To Block 'Pirate' Sites,,https://www.techdirt.com/articles/20190228/11582441695/swiss-supreme-court-refuses-to-order-isps-to-block-pirate-sites.shtml
Oracle Shoots for “Full Moon” and Loses: Supreme Court Says Copyright Award of “Full Costs” Limited to Statutorily Enumerated Costs,,https://www.lexology.com/library/detail.aspx?g=a5e88776-52a8-4684-ae04-338c41a462df
"A Big Copyright Mess: Miel Bredouw, Barstool Sports, Slob On My Carol Of The Bells And The DMCA",,https://www.techdirt.com/articles/20190305/10442341738/big-copyright-mess-miel-bredouw-barstool-sports-slob-my-carol-bells-dmca.shtml
The rise of tech-worker activism,,https://arstechnica.com/video/2019/03/the-rise-of-tech-worker-activism/
"Closing the gender gap in the tech industry: Despite efforts from companies and universities, the number of women majoring in computer science is declining. A non-profit is trying to change that by offering coding lessons to girls as early as kindergarten",,https://www.cbsnews.com/news/closing-the-gender-gap-in-the-tech-industry-60-minutes/
Get ready for a Facebook-sponsored cryptocurrency,,https://arstechnica.com/tech-policy/2019/02/get-ready-for-a-facebook-sponsored-cryptocurrency/
"After buying firm run by HackingTeam vets, Coinbase CEO has some regrets",,https://arstechnica.com/information-technology/2019/03/coinbase-exec-purges-former-hackingteam-crew-after-gap-in-our-diligence/
‘The Washington Post’ Streamed Michael Cohen’s Testimony On Twitch — With Emojis And Memes Aplenty,,https://www.tubefilter.com/2019/02/28/washington-post-michael-cohen-testimony-twitch-memes/
"Twitch To Launch ‘Stream Star’ Singing Competition Series With $20,000 Prize",,https://www.tubefilter.com/2019/03/01/twitch-sings-stream-star-competition/
"Legendary Shutters ‘Alpha’ Streaming Service From Nerdist And Geek & Sundry, Moves Programming To Twitch",,https://www.tubefilter.com/2019/03/04/legendary-shutters-alpha-nerdist-geek-sundry/
The TikTok Takeover: How Gen Z’s New Favorite App Is Turning Memes Into Hits,,https://genius.com/a/the-tiktok-takeover-how-gen-z-s-new-favorite-app-is-turning-memes-into-hits
"TikTok, the Party has Stopped: FTC Levies Record COPPA Fine",,https://www.lexology.com/library/detail.aspx?g=c0f128dc-a1ee-41fe-a0bc-ccb206b17754
FTC Issues Largest Fine Ever Under COPPA ,,https://www.lexology.com/library/detail.aspx?g=d403071f-f8b9-4900-8838-33fc4aee0ae4
"FTC Slams TikTok With Record Fine For Spying on Pre-Teens: ""This record penalty should be a reminder to all online services and websites that target children.""",,https://futurism.com/ftc-tiktok-record-fine-spying-pre-teens
FTC Issues Record $5.7 Million COPPA Penalty Against Music.ly ,,https://www.lexology.com/library/detail.aspx?g=17e8cb28-104f-49da-b7b5-e54cab043380
Musical.ly’s COPPA Failure Falls Flat at the FTC; Will Pay Note-Worthy Fine ,,https://www.lexology.com/library/detail.aspx?g=77458b38-c5b1-457a-95e1-683a33c751fb
The FTC Probably Doesn't Need A New 'Big Tech' Task Force. It Just Needs To Do Its Job,,https://www.techdirt.com/articles/20190227/08244441687/ftc-probably-doesnt-need-new-big-tech-task-force-it-just-needs-to-do-job.shtml
Can a Hashtag Make a False Claim? #Yes,,https://www.lexology.com/library/detail.aspx?g=f0d6c291-7e1e-435c-a2c6-9f73938b2442
"The Deep Vault of Millennial Fintech Apps: Savings, investment, and credit card debt services are increasingly marketing to younger users. But they might be useless—or even predatory.",,https://www.theringer.com/tech/2019/3/1/18244979/millennial-finances-money-apps-digit-fintech-investing
The Impossibility Of Content Moderation Extends To The People Tasked With Doing Content Moderation,,https://www.techdirt.com/articles/20190226/18011641685/impossibility-content-moderation-extends-to-people-tasked-with-doing-content-moderation.shtml
Google pay equity analysis leads to raises for thousands of men,,https://arstechnica.com/tech-policy/2019/03/google-pay-equity-analysis-leads-to-raises-for-thousands-of-men/
What Did Google Actually Find Out About How It Pays Women and Men?,,https://gizmodo.com/what-did-google-actually-find-out-about-how-it-pays-wom-1833046293
"Google to ban political ads ahead of federal election, citing new transparency rules",,https://www.theglobeandmail.com/politics/article-google-to-ban-political-ads-ahead-of-federal-election-citing-new/
Google decision to ban political ads could leave election war rooms struggling to get message to voters,,https://nationalpost.com/news/politics/google-decision-to-ban-political-ads-could-leave-election-war-rooms-struggling-to-get-message-to-voters
The Volvo Polestar 2 is the first Google Android car,,https://arstechnica.com/gadgets/2019/02/the-volvo-polestar-2-is-the-first-google-android-car/
Amazon to give power to brands to remove fakes from website: Retailer also introduces serial numbers and automatic detection to curb frauds sales,,https://www.theguardian.com/technology/2019/mar/04/amazon-to-give-power-to-brands-to-delete-fakes-from-website
